regione,migranti_hot_spot,migranti_centri_accoglienza,migranti_siproimi_sai,totale_accoglienza,data_riferimento,filename,formato
Puglia,0,0,0,12571,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Toscana,0,0,0,12758,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Veneto,0,0,0,13611,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Piemonte,0,0,0,13814,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Emilia-Romagna,0,0,0,13913,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Sicilia,0,0,0,13952,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Sardegna,0,0,0,5179,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Campania,0,0,0,16841,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Valle D'Aosta,0,0,0,333,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Basilicata,0,0,0,2492,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Umbria,0,0,0,3023,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Molise,0,0,0,2989,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Lombardia,0,0,0,26519,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Campania,0,0,0,16677,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Lazio,0,0,0,16447,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Sicilia,0,0,0,13870,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Piemonte,0,0,0,13685,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Veneto,0,0,0,13293,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Toscana,0,0,0,12465,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Emilia-Romagna,0,0,0,13629,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Calabria,0,0,0,7456,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Liguria,0,0,0,6026,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,5062,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Sardegna,0,0,0,4987,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Marche,0,0,0,4953,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Abruzzo,0,0,0,4283,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3370,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Puglia,0,0,0,12122,2017-12-31,cruscotto_statistico_giornaliero_31_dicembre_2017_0.pdf,pre-2019
Campania,0,0,0,16439,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Veneto,0,0,0,12874,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Lazio,0,0,0,15973,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Sicilia,0,0,0,15758,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Piemonte,0,0,0,13523,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,13391,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Toscana,0,0,0,12127,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Umbria,0,0,0,2961,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Calabria,0,0,0,7528,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Liguria,0,0,0,5933,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,5086,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Marche,0,0,0,4823,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Sardegna,0,0,0,4799,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Abruzzo,0,0,0,4245,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3305,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Molise,0,0,0,2922,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Puglia,0,0,0,11963,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Lombardia,0,0,0,26081,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,322,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Basilicata,0,0,0,2484,2018-01-31,cruscotto_statistico_giornaliero_31_gennaio_2018.pdf,pre-2019
Campania,0,0,0,16201,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Basilicata,0,0,0,2443,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Molise,0,0,0,2882,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Umbria,0,0,0,2914,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3302,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Abruzzo,0,0,0,4052,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Sardegna,0,0,0,4584,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Marche,0,0,0,4728,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Lombardia,0,0,0,25730,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,5101,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Calabria,0,0,0,7335,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Puglia,0,0,0,11478,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Veneto,0,0,0,12580,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Piemonte,0,0,0,13245,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,13273,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Sicilia,0,0,0,14990,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Lazio,0,0,0,15721,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,315,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Liguria,0,0,0,5876,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Toscana,0,0,0,12028,2018-02-28,cruscotto_statistico_giornaliero_28_febbraio_2018.pdf,pre-2019
Calabria,0,0,0,7298,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Campania,0,0,0,15749,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Lombardia,0,0,0,24902,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Basilicata,0,0,0,2413,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Molise,0,0,0,2746,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Umbria,0,0,0,2859,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3216,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Abruzzo,0,0,0,3908,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Sardegna,0,0,0,4369,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Marche,0,0,0,4594,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4933,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,294,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Lazio,0,0,0,14893,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Puglia,0,0,0,10901,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Toscana,0,0,0,11768,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Veneto,0,0,0,12279,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Piemonte,0,0,0,12952,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,12958,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Sicilia,0,0,0,14440,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Liguria,0,0,0,5678,2018-03-31,cruscotto_statistico_giornaliero_31_marzo_2018.pdf,pre-2019
Veneto,0,0,0,12005,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,12861,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Piemonte,0,0,0,12914,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Lombardia,0,0,0,24710,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Lazio,0,0,0,14708,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Toscana,0,0,0,11528,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Campania,0,0,0,15479,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Sicilia,0,0,0,14636,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Puglia,0,0,0,10662,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Sardegna,0,0,0,4194,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Liguria,0,0,0,5674,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4856,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Marche,0,0,0,4504,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Abruzzo,0,0,0,3805,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3273,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Umbria,0,0,0,2836,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Molise,0,0,0,2734,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,309,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Calabria,0,0,0,7288,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Basilicata,0,0,0,2403,2018-04-30,cruscotto_statistico_giornaliero_30_aprile_2018.pdf,pre-2019
Basilicata,0,0,0,2373,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Campania,0,0,0,15011,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,296,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Molise,0,0,0,2677,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Umbria,0,0,0,2764,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3246,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Abruzzo,0,0,0,3764,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Sardegna,0,0,0,3974,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Marche,0,0,0,4291,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4745,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Liguria,0,0,0,5556,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Calabria,0,0,0,7168,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Puglia,0,0,0,10270,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Toscana,0,0,0,11352,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Veneto,0,0,0,11717,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,12587,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Piemonte,0,0,0,12590,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Lazio,0,0,0,14335,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Sicilia,0,0,0,14690,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Lombardia,0,0,0,24333,2018-05-31,cruscotto_statistico_giornaliero_31_maggio_2018.pdf,pre-2019
Molise,0,0,0,2613,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Basilicata,0,0,0,2279,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Sicilia,0,0,0,14150,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,301,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Lombardia,0,0,0,24105,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Campania,0,0,0,14731,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Lazio,0,0,0,14289,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Piemonte,0,0,0,12558,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,12487,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Veneto,0,0,0,11510,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Puglia,0,0,0,9993,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Toscana,0,0,0,11185,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Liguria,0,0,0,5568,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4682,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Marche,0,0,0,4126,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Sardegna,0,0,0,3818,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Abruzzo,0,0,0,3719,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3173,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Umbria,0,0,0,2702,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Calabria,0,0,0,7091,2018-06-30,cruscotto_statistico_giornaliero_30_giugno_2018.pdf,pre-2019
Marche,0,0,0,4038,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Liguria,0,0,0,5421,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4695,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Sardegna,0,0,0,3627,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Basilicata,0,0,0,2228,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3201,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Umbria,0,0,0,2645,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Molise,0,0,0,2532,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Calabria,0,0,0,6906,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Abruzzo,0,0,0,3573,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Puglia,0,0,0,9551,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Campania,0,0,0,14141,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Veneto,0,0,0,11249,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Toscana,0,0,0,10948,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Lombardia,0,0,0,22762,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Sicilia,0,0,0,14237,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,296,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Lazio,0,0,0,13868,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Piemonte,0,0,0,12334,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,12206,2018-07-31,cruscotto_statistico_giornaliero_31_luglio_2018.pdf,pre-2019
Molise,0,0,0,2487,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Umbria,0,0,0,2507,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3164,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Abruzzo,0,0,0,3443,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Sardegna,0,0,0,3473,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Marche,0,0,0,3982,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4812,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Liguria,0,0,0,5027,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Calabria,0,0,0,6834,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Puglia,0,0,0,9146,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Basilicata,0,0,0,2163,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Veneto,0,0,0,10832,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Toscana,0,0,0,10649,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Lombardia,0,0,0,21759,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Sicilia,0,0,0,13812,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,286,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Lazio,0,0,0,13453,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Piemonte,0,0,0,12161,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,11929,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Campania,0,0,0,13700,2018-08-31,cruscotto_statistico_giornaliero_31_agosto_2018.pdf,pre-2019
Piemonte,0,0,0,11788,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,4984,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Emilia-Romagna,0,0,0,11782,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Veneto,0,0,0,10562,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Toscana,0,0,0,10433,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Puglia,0,0,0,8702,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Calabria,0,0,0,6645,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Liguria,0,0,0,5017,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Marche,0,0,0,3964,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Molise,0,0,0,2429,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Abruzzo,0,0,0,3198,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3145,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Umbria,0,0,0,2445,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Basilicata,0,0,0,2079,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Valle D'Aosta,0,0,0,266,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Sicilia,0,0,0,13264,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Lombardia,0,0,0,20970,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
Campania,0,0,0,13163,2018-09-30,cruscotto_statistico_giornaliero_30_settembre_2018.pdf,pre-2019
